title,author,price,stock,pages,binding,category,subcategory
EXUBERANCIA: LA VIBRANTE COCINA VEGETARIANA,"OTTOLENGHI, YOTAM","26,60 €",Última unidad,352,,Cocina,Cocina
200 RECETAS DE COCINA SENCILLAS Y RÁPIDAS.,"LARAISON, EMILIE","18,95 €",En stock,440,,Cocina,Cocina
SIN DIENTES Y A BOCADOS. EL LIBRO IMPRESCINDIBLE DE INICIACIÓN AL BABY LED WEANING,"LLORCA, JUANMA","16,06 €",Última unidad,136,,Cocina,Cocina
PERCAL.  LA MODA DE NUESTRAS ABUELAS,"BARRAFON, MARINA","23,75 €",Última unidad,304,,Aragón,Aragon
BOLLERÍA,"LINDEBERG, DANIEL","23,70 €",En stock,174,Cartoné,Cocina,Cocina
LA BUENA COCINA,"ARGUIÑANO, KARLOS","23,70 €",Última unidad,704,,Cocina,Cocina
PAN COMIDO. MÁS RECETAS SIN VERGÜENZA,"DE JORGE, DAVID; MARTÍN BERASATEGUI","23,66 €",Última unidad,344,,Cocina,Cocina
"NUEVO MUNDO DE SABORES, UN. LAS EXUBERANTES COCINAS DE MÉXICO, PERÚ Y BRASIL","STRAUSFELD, MICHI; HUECK, SABINE","18,95 €",Última unidad,256,Cartoné,Cocina,Cocina
COMO CONSTRUIR UN HUERTO VERTICAL 20 PROYECTOS PARA MINI JARDINES,"MAAG, SIBYLLE; MAAG, REBEKKA; MAAG, MICHAEL","13,21 €",,,,Ciencia y Tecnología,Jardineria
EL MÉTODO SKOGLUFT DESCUBRE LAS PLANTAS DE INTERIOR QUE CUIDAN DE TI,"VIUMDAL, JØRN","17,96 €",,288,,Ciencia y Tecnología,Jardineria
"PLANTAS CUIDADAS, PLANTAS FELICES.","DOANE, MORGAN; HARDING, ERIN","16,06 €",,112,,Ciencia y Tecnología,Jardineria
VIVIR CON FLORES.  ARREGLOS Y RAMOS PARA EL HOGAR,"BLOSSOM, ROWAN","21,76 €",,179,,Ciencia y Tecnología,Jardineria
GUÍA PRÁCTICA PARA EL HUERTO URBANO. CÓMO CULTIVAR PLANTAS COMESTIBLES,"ESPIRITU, KEVIN","23,66 €",,224,,Ciencia y Tecnología,Jardineria
HUERTO Y JARDIN EN APARTAMENTOS,"AGUDELO, EDUARDO","5,65 €",,,,Ciencia y Tecnología,Jardineria
LA MENTE BIEN AJARDINADA LAS VENTAJAS DE VIVIR AL RITMO DE LAS PLANTAS. LAS VENTAJAS DE VIVIR AL RITMO DE LAS PLANTAS,"STUART-SMITH, SUE","20,81 €",,344,,Ciencia y Tecnología,Jardineria
MACRAME.  EL ARTE DE LOS NUDOS,,"18,95 €",Última unidad,,,Arte y Manualidades,Manualidades
"HOGAR, VERDE HOGAR. GUÍA PARA CUIDAR TUS PLANTAS DE INTERIOR",CLARA REDONDO (@PLANTITISCRONICA),"20,85 €",Última unidad,208,Bolsillo,Ciencia y Tecnología,Jardineria
50 PLANTAS PERFECTAS,"BURÉS PASTOR, SILVIA","16,10 €",Última unidad,160,Bolsillo,Ciencia y Tecnología,Jardineria
CÓMO NO MATAR TUS PLANTAS.  CONSEJOS Y CUIDADOS,"VARIOS AUTORES,","16,10 €",Última unidad,144,,Ciencia y Tecnología,Jardineria
101 MANUALIDADES PARA HACER Y JUGAR,"SUSAETA, EQUIPO","14,21 €",Última unidad,,,Arte y Manualidades,Manualidades infantiles
MIS PRIMEROS APRENDIZAJES +3,YOYO,"5,65 €",Última unidad,96,Bolsillo,Arte y Manualidades,Manualidades infantiles
COSAS CHULAS PARA DIBUJAR,"ASHFORTH, KATE","14,21 €",Última unidad,,,Arte y Manualidades,Manualidades infantiles
GEOGRAFIA DE LOS PAISAJES CULTURALES,"AZCARATE, BLANCA","34,20 €",,405,,Ciencia y Tecnología,Geografia
EL ORIGEN DE LOS CONTINENTES Y OCEANOS,"WEGENER, ALFRED","17,96 €",,400,,Ciencia y Tecnología,Geografia
DESTROZA ESTE DIARIO,"SMITH, KERI","9,45 €",En stock,224,,Arte y Manualidades,Manualidades infantiles
HOMO CLIMATICUS.  EL CLIMA NOS HIZO HUMANOS,"CAMPILLO ALVAREZ, JOSE ENRIQUE","18,91 €",,400,,Ciencia y Tecnología,Geografia
BIG HERO 6 LIBRO EDUCATIVO CON ACTIVIDADES Y PEGATINAS,EQUIPO EVEREST,"4,70 €",Última unidad,,,Arte y Manualidades,Manualidades infantiles
FUNDAMENTOS DE GEOGRAFIA HUMANA,"RUBIO BENITO, MARIA TERESA; ZARATE MARTIN, MANUEL ANTONIO","27,55 €",Sin Stock,272,,Ciencia y Tecnología,Geografia
ATLAS DE GEOGRAFIA HUMANA DE ESPAÑA,"FERNANDEZ GARCIA, FELIPE; MACEDA RUBIO, AMALIA; FERNANDEZ CUESTA, GASPAR; M; SEVILLA ÁLVAREZ, JUAN; MARTÍNEZ FERNÁNDEZ, LUIS CARLO; MÉNDEZ GARCÍA, BEN","33,25 €",,520,,Ciencia y Tecnología,Geografia
GEOGRAFÍA: ¿POR QUÉ IMPORTA?,"MURPHY, ALEXANDER B.","10,40 €",,168,,Ciencia y Tecnología,Geografia
UN MUNDO INMENSO. EXPLICACIONES DE LUGARES INEXPLICABLES,UN MUNDO INMENSO,"18,91 €",En stock,240,,Ciencia y Tecnología,Geografia
"ATLAS DE LAS FRONTERAS. MUROS, CONFLICTOS, MIGRACIONES","TERTRAIS, BRUNO; PAPIN, DELPHINE","24,23 €",Última unidad,144,,Ciencia y Tecnología,Geografia
UN MAPA EN LA CABEZA,"JENNINGS, KEN","17,01 €",,344,,Ciencia y Tecnología,Geografia
